Date,Open,High,Low,Close,Adj Close,Volume
2017-08-25,51.820000,52.090000,51.750000,51.939999,50.406448,1043200
2017-08-28,52.040001,52.040001,51.639999,51.720001,50.192947,630000
2017-08-29,51.419998,51.689999,51.099998,51.660000,50.134716,1135500
2017-08-30,51.509998,51.540001,51.169998,51.369999,49.853275,1574900
2017-08-31,52.939999,53.959999,52.730000,53.610001,52.027142,3165300
2017-09-01,54.110001,54.540001,54.040001,54.500000,52.890865,2871200
2017-09-05,54.310001,54.470001,53.840000,54.070000,52.473560,1896500
2017-09-06,53.970001,54.900002,53.759998,54.450001,52.842342,2515900
2017-09-07,54.849998,54.880001,54.459999,54.660000,53.046143,1149100
2017-09-08,54.650002,54.900002,54.389999,54.470001,52.861752,1408000
2017-09-11,54.830002,54.910000,54.419998,54.810001,53.191715,1755100
2017-09-12,54.970001,55.029999,54.720001,54.770000,53.152893,1209000
2017-09-13,54.970001,55.189999,54.889999,55.049999,53.424625,1214000
2017-09-14,55.060001,55.240002,54.990002,55.230000,53.599308,1131100
2017-09-15,55.320000,55.400002,55.049999,55.360001,53.725471,2138800
2017-09-18,55.369999,55.520000,54.740002,54.900002,53.279057,1527900
2017-09-19,55.099998,55.529999,54.930000,55.330002,53.696358,1618700
2017-09-20,55.509998,55.779999,55.000000,55.590000,53.948681,1425000
2017-09-21,55.580002,56.130001,55.580002,55.950001,54.298054,1031100
2017-09-22,56.029999,56.349998,55.919998,56.060001,54.404804,993800
2017-09-25,56.110001,56.490002,56.029999,56.209999,54.550377,1188800
2017-09-26,56.290001,56.410000,55.810001,56.049999,54.395100,1253400
2017-09-27,56.299999,56.849998,56.299999,56.349998,54.686241,1599900
2017-09-28,56.279999,56.709999,56.259998,56.459999,54.792992,1141700
2017-09-29,56.490002,56.610001,56.259998,56.270000,54.608604,1068700
2017-10-02,56.299999,57.090000,56.270000,56.950001,55.268524,1293400
2017-10-03,56.939999,57.430000,56.939999,57.410000,55.714943,1386400
2017-10-04,57.500000,57.590000,57.060001,57.279999,55.588783,1470800
2017-10-05,56.580002,56.610001,56.169998,56.240002,55.157257,1368400
2017-10-06,56.230000,56.230000,55.910000,56.160000,55.078796,1092700
2017-10-09,56.150002,56.240002,55.919998,55.959999,54.882645,520600
2017-10-10,56.330002,56.889999,56.310001,56.799999,55.706474,1113000
2017-10-11,56.830002,57.119999,56.820000,57.070000,55.971275,1199900
2017-10-12,57.040001,57.200001,56.820000,56.950001,55.853584,1305400
2017-10-13,56.939999,57.020000,56.770000,56.910000,55.814358,1048800
2017-10-16,56.790001,56.970001,56.700001,56.750000,55.657436,1190600
2017-10-17,56.759998,56.959999,56.680000,56.840000,55.745705,1990200
2017-10-18,57.000000,57.470001,56.990002,57.330002,56.226273,1172000
2017-10-19,57.040001,57.790001,57.040001,57.630001,56.520493,1336000
2017-10-20,57.480000,57.570000,56.750000,56.820000,55.726089,1527100
2017-10-23,56.790001,56.860001,56.490002,56.549999,55.461288,900000
2017-10-24,56.669998,56.810001,56.549999,56.709999,55.618202,1088300
2017-10-25,56.790001,56.930000,56.119999,56.360001,55.274944,1242500
2017-10-26,56.439999,56.549999,56.259998,56.369999,55.284748,852000
2017-10-27,56.230000,56.750000,55.990002,56.740002,55.647633,1145900
2017-10-30,56.660000,56.880001,56.590000,56.799999,55.706474,884700
2017-10-31,56.549999,57.060001,56.500000,56.849998,55.755508,996800
2017-11-01,57.020000,57.150002,56.779999,56.869999,55.775124,1227400
2017-11-02,57.169998,57.349998,56.830002,57.320000,56.216465,969900
2017-11-03,57.490002,57.619999,57.189999,57.419998,56.314537,688900
2017-11-06,57.380001,57.639999,57.270000,57.599998,56.491070,561400
2017-11-07,57.470001,57.490002,57.160000,57.480000,56.373383,650300
2017-11-08,57.630001,57.709999,57.369999,57.599998,56.491070,651000
2017-11-09,57.419998,57.580002,57.250000,57.570000,56.461651,673200
2017-11-10,57.430000,57.509998,57.060001,57.330002,56.226273,564500
2017-11-13,56.950001,57.290001,56.860001,57.169998,56.069347,667000
2017-11-14,57.060001,57.369999,56.869999,57.230000,56.128197,701700
2017-11-15,56.799999,57.259998,56.740002,57.099998,56.000698,689900
2017-11-16,57.169998,57.540001,57.169998,57.389999,56.285114,562200
2017-11-17,57.230000,57.740002,57.130001,57.630001,56.520493,775900
2017-11-20,57.470001,57.799999,57.400002,57.650002,56.540112,736400
2017-11-21,57.939999,58.290001,57.849998,58.080002,56.961834,975000
2017-11-22,58.259998,58.759998,58.240002,58.669998,57.540470,1123500
2017-11-24,58.520000,58.529999,58.320000,58.380001,57.256054,297000
2017-11-27,58.480000,58.480000,58.049999,58.070000,56.952023,582800
2017-11-28,58.060001,58.150002,57.790001,58.020000,56.902988,950600
2017-11-29,58.029999,58.419998,57.759998,58.380001,57.256054,1155500
2017-11-30,57.029999,58.060001,56.340000,56.939999,55.843777,2905000
2017-12-01,57.450001,58.049999,57.419998,57.790001,56.677414,1653400
2017-12-04,58.189999,58.290001,57.779999,57.810001,56.697029,868900
2017-12-05,58.000000,58.200001,56.869999,57.040001,55.941853,1307400
2017-12-06,57.029999,57.240002,56.570000,56.599998,55.510323,1464100
2017-12-07,56.400002,56.740002,56.049999,56.520000,55.431866,920300
2017-12-08,56.650002,56.860001,56.459999,56.630001,55.539749,752300
2017-12-11,56.470001,56.709999,56.380001,56.549999,55.461288,627400
2017-12-12,56.570000,56.689999,56.430000,56.570000,55.480904,865600
2017-12-13,56.580002,56.779999,56.360001,56.419998,55.333786,1044600
2017-12-14,56.470001,56.470001,56.110001,56.200001,55.118023,996400
2017-12-15,56.290001,56.310001,55.730000,55.790001,54.715919,1041100
2017-12-18,56.080002,56.669998,55.919998,56.340000,55.255329,859900
2017-12-19,56.389999,56.580002,56.259998,56.349998,55.265133,783200
2017-12-20,56.639999,56.700001,56.209999,56.500000,55.412251,788600
2017-12-21,56.779999,57.410000,56.759998,57.200001,56.098774,1025300
2017-12-22,56.910000,57.400002,56.910000,57.369999,56.265499,705000
2017-12-26,57.330002,57.400002,56.990002,57.160000,56.059544,339700
2017-12-27,57.570000,58.230000,57.549999,57.970001,56.853951,1147400
2017-12-28,58.150002,58.419998,57.810001,58.400002,57.275669,1310300
2017-12-29,58.570000,58.669998,58.160000,58.580002,57.452206,1041900
